ticker,px_chg,eqy_c,val_trade,si_ratio,ev_c,ev_chg,sales_ev,sales2_ev,salesh_ev,ebitda_ev,ebitda2_ev,debt_ev,net_debt_ev,sales_chg_fwd,sales_chg_2fwd,sales_chg_qoq,sales_chg_ltm,ebitda_chg_fwd,ebitda_chg_2fwd
ACIW US Equity,0.066188458,3816.5633,32996638,0.09437417,5129.095234,0.04843057,3.887150613,3.384424437,3.152580179,0.070642674,0.083575559,0.283076826,0.255899323,0.306720276,0.148541114,0.445765223,0.062229399,0.027114334,0.012932885
CSOD US Equity,0.015381798,3364.7788,36824992,0.0439069,3339.02275,0.015502302,5.859805675,5.14559476,4.836992423,0.037685577,0.051861581,0.113011509,-0.007713634,0.059355892,0.138800459,0.012439604,0.017146423,0.02945233,0.014176004
VRNT US Equity,-0.015281963,3054.7952,33962832,0.1227318,3561.266164,-0.013137163,2.604081371,2.395394248,2.366709359,0.084333208,0.097905347,0.254390702,0.138101725,0.112075085,0.087120157,0.028693868,0.014315985,0.02728889,0.013572139
BL US Equity,-0.036169808,2800.9519,37119176,0.1198128,2676.579797,-0.037787008,9.463965507,7.81172964,6.873454644,0.011787431,0.017074029,0.0062408,-0.048005294,0.24158428,0.211507047,0.086310406,0.059052582,0.014589515,0.005286597
LPSN US Equity,-0.040619447,2476.2952,21621242,0.1135568,2445.270109,-0.041113639,8.40917413,7.007930291,6.229541776,0.000906239,0.008888998,0.079214971,-0.01268776,0.163898206,0.199951167,0.068627451,0.036042775,0.003647041,0.007982758
SVMK US Equity,0.08432304,2429.9857,22283766,0.03204998,2581.57771,0.078980459,8.450336202,6.989042869,6.162723515,0.013956194,0.018521232,0.118585623,0.058720681,0.201223636,0.20908347,0.094666453,0.047048103,0.044684303,0.004565038
EXLS US Equity,-0.009660422,2312.2712,8632518,0.05623239,2416.242028,-0.009248563,2.44856306,2.282488218,2.282488218,0.066580665,0.07692731,0.147757135,0.043030044,0.117412061,0.072760438,0.01642923,0.036471074,0.025798326,0.010346646
EPAY US Equity,0.008793356,1811.5149,9290583,0.03965384,1816.172931,0.008770598,4.052953244,3.680605968,3.586759598,0.0576074,0.063664092,0.06056692,0.002564734,0.061970035,0.101164667,0.016939439,0.00421714,0.031624742,0.006056692
PRGS US Equity,0.029516539,1809.5834,10775208,0.03355764,1979.226413,0.026918538,4.716183099,4.536045664,4.536045664,0.082860657,0.089428879,0.150662904,0.08571177,0.056656553,0.039712439,0.116651219,0.018311425,0.016925805,0.006568223
SPSC US Equity,0.030558483,1705.7888,13181004,0.02681402,1527.473773,0.034248026,5.503517532,5.026089301,4.92758683,0.044381122,0.051463404,0.013328543,-0.116738502,0.11805108,0.094990002,0.023829444,0.029045384,0.018575769,0.007082282
UPWK US Equity,0.055595668,1619.9502,18151608,0.0485559,1539.181226,0.076792218,5.077409756,4.236830557,3.77144175,0.00329136,0.0079094,0.031682429,-0.052475302,0.196519494,0.198398116,0.077360571,0.044001369,0.007685255,0.00461804
QADB US Equity,0.138559322,870.8528,42818.875,0.00455192,759.8798215,0.126558505,2.410403875,2.246503537,2.246503537,0.009151447,0.025793552,0.042105342,-0.146040199,-0.053348788,0.07295797,-0.021234062,-0.025133826,-0.010706956,0.016642105
AMSWA US Equity,0.016846361,473.3219,1873895.625,0.07409379,389.7349035,0.020945728,3.464310253,3.247790862,3.247790862,0.03630673,0.046313532,0.006994498,-0.214471425,0.034901477,0.066666667,0.042328042,-0.000147186,0.002963553,0.010006802
INSG US Equity,0.156908665,392.9285,5178686,0.1436705,519.4445435,0.114322957,2.271620057,1.831177203,1.571118678,0.02534823,0.068694532,0.282696203,0.243677601,0.129426117,0.240524431,0.151062691,0.0334531,-0.028062668,0.043346302
CERN US Equity,0.004274134,21695.3635,103168624,0.06556832,21921.98868,0.004229764,3.832042528,3.607021187,3.607021187,0.076015777,0.086044794,0.053833802,0.010337794,0.066037931,0.062384258,0.029631399,0.01159254,0.011360329,0.010029017
PINC US Equity,0.022727273,4537.9593,26638718,0.1068655,4430.515336,0.023291266,3.528230393,3.404992796,3.404992796,0.130140166,0.135505004,0.007586251,-0.024250904,0.031285982,0.036193203,-0.252180905,0.002328592,0.015327788,0.005364839
OMCL US Equity,0.03493389,3097.518,19023188,0.1055341,3262.595001,0.033107822,3.645357543,3.295550506,3.196009973,0.05052941,0.056571839,0.077410466,0.050596841,0.136783652,0.106145251,0.073554319,0.03560425,0.021184057,0.006042429
INOV US Equity,0.113388853,2680.1958,10687356,0.3400147,3564.15194,0.082934656,5.56464003,5.119988421,5.060046033,0.058483478,0.064936626,0.284586352,0.248012996,0.213813022,0.086846214,0.078946464,0.007200058,0.032070462,0.006453148
ARCE US Equity,-0.052291667,2336.0056,1985039.375,0.02096758,8778.644955,2.866972593,17.15416699,11.83504544,8.610823988,0.019593001,0.025117772,0.014924855,-0.085053104,0.343242839,0.449438202,0.175225321,0.146019011,0.010290654,0.005524771
MDRX US Equity,0.143634385,1751.5281,20359160,0.1838844,2575.280096,0.09339907,1.436652521,1.373299611,1.373299611,0.117574007,0.129007715,0.373805941,0.319868896,0.024339957,0.046131892,0.028725908,0.001629951,0.079017424,0.011433708
